date,home_team,away_team,result,season,result_code
2017-09-13,Giri,Ivanchuk,D,2017,0
2017-09-14,Grischuk,MVL,D,2017,0
2017-09-15,Svidler,MVL,D,2017,0
2017-09-15,Aronian,Ivanchuk,H,2017,1
2017-09-15,Fedoseev,So,D,2017,0
2017-09-16,MVL,Svidler,D,2017,0
2017-09-16,So,Fedoseev,H,2017,1
2017-09-16,Ivanchuk,Aronian,D,2017,0
2017-09-19,So,Ding Liren,D,2017,0
2017-09-19,Aronian,MVL,D,2017,0
2017-09-20,Ding Liren,So,D,2017,0
2017-09-20,MVL,Aronian,D,2017,0
2017-09-21,So,Ding Liren,D,2017,0
2017-09-21,Ding Liren,So,D,2017,0
2017-09-21,Aronian,MVL,H,2017,1
2017-09-23,Aronian,Ding Liren,D,2017,0
2017-09-23,Caruana,Kramnik,H,2017,1
2017-09-24,Ding Liren,Aronian,D,2017,0
2017-09-25,Aronian,Ding Liren,D,2017,0
2017-09-26,Ding Liren,Aronian,D,2017,0
2017-09-28,Eljanov,Carlsen,A,2017,-1
2017-09-29,Carlsen,Vidit,D,2017,0
2017-09-30,Caruana,Carlsen,A,2017,-1
2017-09-30,Vidit,Eljanov,D,2017,0
2017-10-01,Carlsen,Nakamura,D,2017,0
2017-10-10,Mamedyarov,Harikrishna,D,2017,0
2017-10-10,Wojtaszek,Kramnik,D,2017,0
2017-10-10,Navara,Grischuk,D,2017,0
2017-10-12,Naiditsch,Kramnik,D,2017,0
2017-10-13,Mamedyarov,Eljanov,D,2017,0
2017-10-13,Karjakin,Yu Yangyi,D,2017,0
2017-10-13,Naiditsch,Svidler,D,2017,0
2017-10-13,Andreikin,Grischuk,D,2017,0
2017-10-13,Jakovenko,Giri,D,2017,0
2017-10-13,Ding Liren,Kramnik,D,2017,0
2017-10-14,Wojtaszek,Naiditsch,D,2017,0
2017-10-21,Jakovenko,Svidler,H,2017,1
2017-10-21,Anand,Li Chao,D,2017,0
2017-10-21,Duda,Eljanov,H,2017,1
2017-10-21,Ivanchuk,Wei Yi,D,2017,0
2017-10-22,Wei Yi,Ivanchuk,D,2017,0
2017-10-23,Ivanchuk,Wei Yi,H,2017,1
2017-10-24,Wei Yi,Ivanchuk,D,2017,0
2017-10-25,Ivanchuk,Wei Yi,D,2017,0
2017-10-26,Wei Yi,Ivanchuk,H,2017,1
2017-10-29,Jobava,Navara,A,2017,-1
2017-10-29,Giri,Eljanov,H,2017,1
2017-10-30,Wojtaszek,Adams,H,2017,1
2017-10-30,Navara,Grischuk,D,2017,0
2017-10-31,Aronian,Giri,D,2017,0
